Datum;Arbeitszeit;Aufgabe
;;
09.10.2014;01:40;automatische FTP-Directory-Erstellung für neuen Klienten implementieren
16.10.2014;00:50;automatische FTP-Directory-Erstellung für neuen Klienten implementieren
16.10.2014;00:50;neues Projekt heruntergeladen -- Anpassung des neuen Repository-Pfades
23.10.2014;01:40;UserStory: Zugriff und Bearbeitungsrechte auf 'Schulisch'-Abschnitt für Hauslehrer implementieren
30.10.2014;01:40;
06.11.2014;01:40;
13.11.2014;01:40;
19.11.2014;01:40;Abarbeitung der Userstory betreffend Klienten-Tab
20.11.2014;01:40;Abarbeitung der Userstory betreffend Klienten-Tab
25.11.2014;00:50;Abarbeitung der Userstory betreffend Klienten-Tab
27.11.2014;01:40;
04.12.2014;01:40;
11.12.2014;01:40;
18.12.2014;01:40;
25.12.2014;01:40;
01.01.2015;01:40;
08.01.2015;01:40;
15.01.2015;01:40;
22.01.2015;01:40;
29.01.2015;01:40;
05.02.2015;01:40;
12.02.2015;01:40;
19.02.2015;01:40;
26.02.2015;01:40;
05.03.2015;01:40;
12.03.2015;01:40;
19.03.2015;01:40;
26.03.2015;01:40;
02.04.2015;01:40;
09.04.2015;01:40;
16.04.2015;01:40;
23.04.2015;01:40;
30.04.2015;01:40;
07.05.2015;01:40;
14.05.2015;01:40;
21.05.2015;01:40;
28.05.2015;01:40;
